id,key,value
27294486,name,Rua Uruana
27294489,created_by,Potlatch 0.10b
27294489,highway,residential
27294489,name,Rua Ana Simões
27294494,highway,residential
27294494,name,Rua Uruassu
27294497,highway,residential
27294497,name,Rua Jaraguá
27294509,created_by,Potlatch 0.10b
27294509,highway,residential
27294509,name,Rua Itaipu
27294510,created_by,Potlatch 0.10b
27294510,highway,residential
27294510,name,Rua Itambé
27294513,created_by,Potlatch 0.10b
27294513,highway,residential
27294513,name,Rua Expedicionário José Silva
27294515,highway,residential
27294515,name,Rua Rio Verde
27294517,highway,residential
27294517,name,Rua Italva
27294518,highway,residential
27294518,name,Rua Jandira
27294521,highway,residential
27294521,name,Rua Jussara
27294522,created_by,Potlatch 0.10b
27294522,highway,residential
27294522,name,Rua Aratime
27294524,highway,residential
27294524,name,Rua Rialva
27294529,highway,residential
27294529,name,Rua Jackson Soares
27294534,highway,residential
27294534,name,Rua Cesar Lates
27294536,highway,residential
27294536,name,Rua Constância Alves
27294537,highway,residential
27294537,name,Rua Itatiaia
27294537,oneway,no
27294537,surface,asphalt
27294539,highway,residential
27294539,name,Rua Almirante Jaceguai
27294541,highway,residential
27294541,name,Rua Camaçari
27294543,highway,residential
27294543,lanes,1
27294543,name,Rua Gomes Teixeira
27294543,oneway,no
27294543,surface,asphalt
27294545,highway,residential
27294545,name,Rua Reverendo Luis Feliciano
27294547,highway,residential
27294547,name,Rua Padre Adalberto Seixas
27294547,oneway,no
27294547,surface,dirt
27294549,created_by,Potlatch 0.10b
27294549,highway,residential
27294549,name,Rua Padre Prevot
27294552,highway,residential
27294552,name,Rua Padre Labart
27294554,created_by,Potlatch 0.10b
27294554,highway,residential
27294554,name,Rua Monsenhor Lamego
27294588,highway,trunk_link
27294588,name,Marginal Rodovia Amaral Peixoto
27294588,oneway,yes
27294589,highway,trunk_link
27294589,lanes,1
27294589,name,Avenida Bispo Dom João Matta
27294589,oneway,yes
27294589,surface,asphalt
27458742,highway,secondary
27458742,name,Rua Doutor Mário Viana
27458742,oneway,no
27458928,cycleway,no
27458928,foot,yes
27458928,highway,tertiary
27458928,lanes,2
27458928,name,Rua Cinco de Julho
27458928,oneway,yes
27458928,surface,asphalt
27459085,highway,residential
27459085,lit,yes
27459085,maxspeed,60
27459085,name,Rua Tavares de Macedo
27459085,oneway,yes
27459092,highway,secondary
27459092,name,Rua Santa Rosa
27459106,highway,secondary
27459106,name,Rua Paulo Cesar
27459106,oneway,yes
27474439,highway,secondary
27474439,maxspeed,60
27474439,name,Rua Mem de Sá
27474439,oneway,yes
27474604,highway,tertiary
27474604,name,Rua Domingues de Sá
27474604,oneway,yes
27474659,highway,residential
27474659,name,Rua Lemos Cunha
27474659,oneway,yes
27484051,highway,secondary
27484051,maxspeed,60
27484051,name,Estrada Francisco da Cruz Nunes
27484051,oneway,yes
27484073,highway,secondary
27484073,junction,roundabout
27484073,maxspeed,70
27484225,highway,secondary
27484225,lanes,2
27484225,name,Avenida Ewerton da Costa Xavier
27484225,oneway,no
27484225,source,survey
27605024,leisure,sports_centre
27605024,name,Rio Cricket Club
27605096,leisure,stadium
27605096,name,Estádio Caio Martins
27621555,building,yes
27621555,name,Bay Market
27621555,shop,mall
27624189,addr:housenumber,8
27624189,addr:street,Rua Quinze de Novembro
27624189,building,yes
27624189,name,Plaza Shopping
27624189,shop,mall
27624189,website,http://www.plazaniteroi.com.br/
27624208,amenity,place_of_worship
27624208,building,church
27624208,denomination,catholic
27624208,name,Igreja Nossa Senhora Auxiliadora
27624208,religion,christian
28538377,bicycle,yes
28538377,foot,yes
28538377,highway,tertiary
28538377,horse,yes
28538377,lanes,2
28538377,maxspeed,40
28538377,name,Rua Vereador Duque Estrada
28538377,oneway,no
28538377,surface,asphalt
28538405,highway,residential
28538405,name,Rua Doutor Martins Torres
28538405,oneway,no
29142348,highway,tertiary
29142348,maxspeed,60
29142348,name,Avenida Washington Luiz
29142348,oneway,yes
29142348,surface,paved
29142384,access,permissive
29142384,highway,footway
29142384,surface,concrete
29142415,access,permissive
29142415,description,Via de Acesso
29142415,highway,service
29142415,surface,cobblestone
29142437,access,permissive
29142437,description,Via de Acesso
29142437,highway,service
29142437,surface,cobblestone
29142447,access,permissive
29142447,description,Via de Acesso
29142447,highway,service
29142447,surface,cobblestone
29142468,access,permissive
29142468,description,Via de Acesso
29142468,highway,service
29142468,surface,cobblestone
29142854,highway,secondary
29142854,lanes,6
29142854,loc_name,Avenida Amaral Peixoto
29142854,maxspeed,60
29142854,name,Avenida Ernani do Amaral Peixoto
29142854,oneway,yes
29142854,surface,asphalt
29142896,highway,primary
29142896,lanes,3
29142896,maxspeed,70
29142896,name,Avenida Marquês do Paraná
29142896,oneway,yes
29142896,surface,paved
29143326,highway,secondary
29143326,name,Rua Doutor Paulo Alves
29143326,oneway,yes
29143392,addr:housenumber,188
29143392,addr:street,Rua da Conceição
29143392,building,yes
29143392,name,Niterói Shopping
29143392,shop,mall
29143392,website,http://www.niteroishopping.com.br/
29143586,highway,tertiary
29143586,name,Rua Jornalista Moacir Padilha
29143665,highway,secondary
29143665,name,Rua Barão de Amazonas
29143665,oneway,yes
29143665,surface,paved
29143757,highway,tertiary
29143757,maxspeed,60
29143757,name,Avenida Washington Luiz
29143757,oneway,yes
29143757,surface,paved
29143803,highway,tertiary
29143803,maxspeed,60
29143803,name,Rua Professor Heitor Carrilho
29143803,oneway,no
29143803,surface,paved
29143881,access,no
29143881,description,Acesso Para Avenida Visconde do Rio Branco
29143881,foot,yes
29143881,highway,service
29143881,oneway,yes
29143881,psv,yes
29143906,highway,service
29143932,highway,tertiary
29143932,name,Rua Doutor Fróes da Cruz
29143932,oneway,yes
29143932,surface,paved
29144061,highway,residential
29144061,name,Estaleiro Mauá
29144090,highway,residential
29144090,name,Rua Cristina Dutra
29144647,highway,tertiary
29144647,name,Rua Deputado Cordeiro de Miranda
29144647,surface,paved
29144698,bridge,yes
29144698,description,Via de Acesso
29144698,highway,residential
29144698,layer,1
29144698,surface,wood
29144713,description,Via de Acesso
29144713,highway,residential
29144713,surface,paved
29144797,highway,residential
29144797,name,Rua Xavier de Brito
29144797,oneway,yes
29144824,highway,tertiary
29144824,maxspeed,60
29144824,name,Rua Andrade Pinto
29144824,oneway,yes
29144969,highway,tertiary
29144969,name,Rua Marquês de Caxias
29144969,oneway,yes
29144987,highway,unclassified
29144987,maxspeed,60
29144987,name,Rua Saldanha Marinho
29144987,oneway,yes
29145099,alt_name,Rua Quinze de Novembro; Rua XV de Novembro
29145099,highway,tertiary
29145099,name,Rua 15 de Novembro
29145099,oneway,yes
29145168,highway,secondary
29145168,name,Rua Fagundes Varela
29145168,oneway,no
29145270,highway,secondary
29145270,maxspeed,60
29145270,name,Avenida Jornalista Alberto Francisco Torres
29145270,oneway,yes
29145626,highway,residential
29145626,name,Estrada do Forte do Pico
29145649,highway,residential
29145649,name,Estrada do Forte do Pico
29145800,highway,residential
29145800,name,Avenida Prefeito Sílvio Picanço
29145823,highway,residential
29145823,name,Estrada do Forte Imbui
29145838,highway,residential
29145838,name,Estrada do Forte Imbui
29145931,highway,residential
29145931,name,Avenida do Forte
29145981,bridge,yes
29145981,highway,residential
29145981,layer,1
29145981,name,Ponte Timbau
29146055,highway,tertiary
29146055,name,Avenida Doutor Acúrcio Torres
29146141,highway,tertiary
29146141,name,Rua General Cristóvão Barcelos
29146310,highway,tertiary
29146310,name,Avenida Almirante Tamandaré
29146310,oneway,no
29146373,highway,tertiary
29146373,name,Avenida Raul de Oliveira Rodrigues
29146373,oneway,yes
29146387,highway,tertiary
29146387,junction,roundabout
29146443,highway,tertiary
29146443,name,Avenida Conselheiro Paulo de Mello Kalle
29146443,oneway,yes
29146463,highway,residential
29146463,name,Avenida Adolfo Bezerra de Menezes
29146463,oneway,no
29146491,highway,residential
29146491,name,Rua Doutor Waldir Costa
29146514,highway,residential
29146514,junction,roundabout
29146529,highway,residential
29146529,name,Rua Doutor Waldir Costa
29146562,highway,residential
29146562,name,Avenida Cruz Nunes
29146585,highway,residential
29146585,name,Rua Mem Marinho Falcão
29146602,highway,residential
29146602,name,Avenida Francisco Gabriel de Souza Lobo
29146633,highway,residential
29146633,name,Rua Doutor Heleno de Gregório
29146976,name,Praia de Icaraí
29146976,natural,beach
29147020,alt_name,Rua 4
29147020,highway,residential
29147020,name,Rua Quatro
29147041,highway,residential
29147041,name,Travessa Doutor Rogério Pires de Melo
29147099,highway,residential
29147099,lanes,1
29147099,name,Travessa da Cândida
29147099,oneway,no
29147099,surface,asphalt
29147125,highway,residential
29147125,name,Travessa Dirceu
29147154,highway,tertiary
29147154,maxspeed,30
29147154,name,Avenida 22 de Novembro
29147154,oneway,no
29147154,surface,asphalt
29147242,highway,tertiary
29147242,name,Rua Dom José Pereira Alves
29147242,oneway,no
29147246,highway,tertiary
29147246,lanes,2
29147246,name,Rua Magnólia Brasil
29147246,oneway,no
29147246,surface,asphalt
29147314,highway,secondary
29147314,maxspeed,60
29147314,name,Rua São Lourenço
29147314,oneway,yes
29147314,surface,paved
29147331,highway,secondary
29147331,name,Rua Doutor Genserico Ribeiro
29147331,oneway,yes
29147331,surface,paved
29147393,highway,tertiary
29147393,name,Rua Professora Emylce
29147393,surface,paved
29147871,highway,tertiary
29147871,name,Avenida Almirante Tamandaré
29147871,oneway,yes
29147874,highway,tertiary
29147874,name,Avenida Doutor Acúrcio Torres
29147874,oneway,yes
29148423,alt_name,Praia de Itaquatiara
29148423,name,Praia de Itacoatiara
29148423,natural,beach
29148447,highway,residential
29148447,name,Rua das Madressilvas
29148447,oneway,no
29148497,highway,tertiary
29148497,name,Rua das Rosas
29148497,oneway,no
29148535,highway,residential
29148535,name,Rua das Margaridas
29148535,oneway,no
29148543,highway,residential
29148543,name,Rua dos Lírios
29148576,highway,residential
29148576,name,Rua das Camélias
29148606,highway,residential
29148606,name,Rua dos Ipês
29148606,oneway,no
29148628,highway,residential
29148628,name,Rua Antônio Pinto de Miranda
29148628,oneway,no
29148757,highway,residential
29148757,name,Rua Max Albin
29148758,name,Praia de Itaipu
29148758,natural,beach
29148772,bicycle,yes
29148772,foot,yes
29148772,highway,residential
29148772,maxspeed,40
29148772,name,Rua G
29148784,bicycle,yes
29148784,foot,yes
29148784,highway,residential
29148784,maxspeed,40
29148784,name,Rua Perminio Mendonça de Souza
29149225,access,yes
29149225,name,Praia de Camboinhas
29149225,natural,beach
29149225,surface,sand
29149244,access,yes
29149244,name,Praia do Sossego
29149244,natural,beach
29149244,surface,sand
29149342,name,Praia de Piratininga
29149342,natural,beach
29149370,highway,tertiary
29149370,name,Rua Jaime Bitencourt
29149370,oneway,yes
29149428,highway,tertiary
29149428,junction,roundabout
29149428,name,Rua Doutor Geraldo de Melo Ourivio
29149446,bicycle,yes
29149446,foot,yes
29149446,highway,tertiary
29149446,name,Rua Doutor Geraldo de Melo Ourivio
29149446,oneway,yes
29149458,highway,tertiary
